,Id,Name,Age,Country,Gender,Income,Tax,Ranking
0,7,Ahmed Khan,38.0,,Male,68000.0,20%,10.0
1,3,Alex,32.75,USA,Unknown,47000.0,10%,3.0
2,9,Carlos Ruiz,32.75,Mexico,Male,45000.0,10%,2.0
3,10,Emily Davis,31.0,USA,,58000.0,20%,7.0
4,2,Jane Smith,32.75,Canada,Female,62000.0,20%,8.5
5,1,John Doe,29.0,USA,Male,55000.0,20%,5.5
6,1,John Doe,29.0,USA,Male,55000.0,20%,5.5
7,5,Li Wei,27.0,China,Male,51000.0,20%,4.0
8,4,Maria Garcia,34.0,Spain,Female,10000.0,10%,1.0
9,8,Rachel Lee,29.0,USA,Female,62000.0,20%,8.5
10,6,,45.0,India,Female,73000.0,20%,11.0
